name,symbol,circulating-supply,market-cap,24h-price-change,7d-price-change,price,volume
yOUcash,YOUC,"4,612,014,104 YOUC","$223.93M $223,929,791",9.88%,21.97%,$0.05 ,"$46,549 958,712 YOUC"
Sologenic,SOLO,"200,001,808 SOLO","$222.07M $222,065,492",13.78%,7.02%,$1.11 ,"$1,543,888 1,390,492 SOLO"
Mina,MINA,"160,183,127 MINA","$221.22M $221,217,829",26.22%,51.05%,$1.38 ,"$30,812,443 22,311,192 MINA"
Axie Infinity,AXS,"60,907,500 AXS","$205.98M $205,979,776",10.10%,18.63%,$3.38 ,"$24,199,642 7,155,750 AXS"
Pundi X[new],PUNDIX,"258,491,637 PUNDIX","$193.03M $193,030,401",21.44%,43.72%,$0.75 ,"$12,832,548 17,184,372 PUNDIX"
Persistence,XPRT,"20,381,209 XPRT","$182.68M $182,680,814",8.66%,16.59%,$8.96 ,"$904,349 100,896 XPRT"
Anchor Protocol,ANC,"75,965,839 ANC","$182.57M $182,573,473",6.30%,12.02%,$2.40 ,"$5,091,878 2,118,647 ANC"
Orion Protocol,ORN,"28,985,000 ORN","$177.16M $177,156,027",12.90%,29.42%,$6.11 ,"$10,630,700 1,739,319 ORN"
Akash Network,AKT,"64,991,626 AKT","$176.50M $176,497,517",3.42%,13.01%,$2.72 ,"$1,766,878 650,617 AKT"
Raydium,RAY,"51,856,498 RAY","$175.25M $175,245,139",7.24%,21.23%,$3.38 ,"$30,481,463 9,019,719 RAY"
TitanSwap,TITAN,"53,404,160 TITAN","$174.23M $174,225,740",15.39%,24.13%,$3.26 ,"$2,454,552 752,376 TITAN"
Klever,KLV,"3,397,615,776 KLV","$170.59M $170,594,044",8.94%,18.24%,$0.05 ,"$1,977,284 39,380,338 KLV"
sUSD,SUSD,"165,163,386 SUSD","$165.18M $165,176,192",0.57%,0.71%,$1.00 ,"$151,131,724 151,120,008 SUSD"
Doctors Coin,DRS,"229,741,603 DRS","$157.52M $157,521,644",1.64%,13.39%,$0.69 ,"$3,800,318 5,542,675 DRS"
Tribe,TRIBE,"248,364,400 TRIBE","$155.62M $155,616,598",8.80%,16.61%,$0.63 ,"$9,796,899 15,635,871 TRIBE"
Mixin,XIN,"560,771 XIN","$152.58M $152,580,107",9.70%,25.76%,$272.09 ,"$19,073 70 XIN"
Keep Network,KEEP,"535,719,473 KEEP","$150.03M $150,030,284",24.38%,49.33%,$0.28 ,"$36,022,575 128,627,330 KEEP"
Toko Token,TKO,"108,500,000 TKO","$147.74M $147,736,378",12.86%,33.11%,$1.36 ,"$12,938,727 9,502,412 TKO"
MVL,MVL,"12,940,012,528 MVL","$144.78M $144,781,041",53.19%,14.98%,$0.01 ,"$4,140 370,036 MVL"
MATH,MATH,"114,356,164 MATH","$140.09M $140,093,886",8.90%,12.50%,$1.23 ,"$768,960 627,688 MATH"
Frax,FRAX,"140,948,800 FRAX","$140.09M $140,085,878",0.96%,0.84%,$0.99 ,"$6,761,899 6,803,552 FRAX"
